ENTRYTYPE,class,ID,title,author,booktitle,journal,number,volume,series,pages,year,month,doi,url,abstract
inproceedings,conference,6404427,Common motifs in scientific workflows: An empirical analysis,D. Garijo and P. Alper and K. Belhajjame and O. Corcho and Y. Gil and C. Goble,2012 IEEE 8th International Conference on E-Science,,,,,1--8,2012,October,10.1109/eScience.2012.6404427,https://dgarijo.com/papers/motifs2012.pdf,
inproceedings,conference,9006447,SoMEF: A Framework for Capturing Scientific Software Metadata from its Documentation,A. {Mao} and D. {Garijo} and S. {Fakhraei},2019 IEEE International Conference on Big Data (Big Data),,,,,3032--3037,2019,,10.1109/BigData47090.2019.9006447,https://dgarijo.com/papers/SoMEF.pdf,
inproceedings,conference,el_hounsri_25,Good practice versus reality: A landscape analysis of Research Software metadata adoption in European Open Science Clusters,"El Hounsri, Anas and Garijo, Daniel","To appear in Proceedings of the Mining Software Repositories Conference, 2025)",,,,MSR '25,,2025,,,https://dgarijo.com/papers/El_Hounsri_MSR_2025_landscape_analysis_CR.pdf,
inproceedings,workshop,poveda2024ontology,Ontology Engineering and the FAIR principles: A Gap Analysis toward a FAIR-by-design methodology,"Poveda-Villalon, Mar{\'\i}a and Garijo, Daniel and Gonzalez-Beltran, Alejandra and Jonquet, Clement and Le Franc, Yann",FAIR principles for Ontologies and Metadata in Knowledge Management (FOAM 2024),,,3882,{CEUR} Workshop Proceedings,,2024,,,https://ceur-ws.org/Vol-3882/foam-4.pdf,
misc,preprint,wilkinson2024applyingfairprinciplescomputational,Applying the FAIR Principles to Computational Workflows,Sean R. Wilkinson and Meznah Aloqalaa and Khalid Belhajjame and Michael R. Crusoe and Bruno de Paula Kinoshita and Luiz Gadelha and Daniel Garijo and Ove Johan Ragnar Gustafsson and Nick Juty and Sehrish Kanwal and Farah Zaib Khan and Johannes Köster and Karsten Peters-von Gehlen and Line Pouchard and Randy K. Rannow and Stian Soiland-Reyes and Nicola Soranzo and Shoaib Sufi and Ziheng Sun and Baiba Vilne and Merridee A. Wouters and Denis Yuen and Carole Goble,,,,,,,2024,,,https://arxiv.org/abs/2410.03490,
misc,preprint,https://doi.org/10.5281/zenodo.13844758,Workflows Community Summit 2024: Future Trends and Challenges in Scientific Workflows,"Ferreira da Silva, Rafael and Bard, Deborah and Chard, Kyle and Shaun, de Witt and Foster, Ian T. and Gibbs, Tom and Goble, Carole and Godoy, William and Gustafsson, Johan and Haus, Utz-Uwe and Hudson, Stephen and Jha, Shantenu and Los, Laila and Paine, Drew and Suter, Frédéric and Ward, Logan and Wilkinson, Sean and Amaris, Marcos and Babuji, Yadu and Bader, Jonathan and Balin, Riccardo and Balouek, Daniel and Beecroft, Sarah and Belhajjame, Khalid and Bhattarai, Rajat and Brewer, Wes and Brunk, Paul and Caino-Lores, Silvina and Casanova, Henri and Cassol, Daniela and Coleman, Jared and Coleman, Taina and Colonnelli, Iacopo and Da Silva, Anderson Andrei and de Oliveira, Daniel and Elahi, Pascal and Elfaramawy, Nour and Elwasif, Wael and Etz, Brian and Fahringer, Thomas and Ferreira, Wesley and Filgueira, Rosa and Fosso Tande, Jacob and Gadelha, Luiz and Gallo, Andy and Garijo, Daniel and Georgiou, Yiannis and Gritsch, Philipp and Grubel, Patricia and Gueroudji, Amal and Guilloteau, Quentin and Hamalainen, Carlo and Hong Enriquez, Rolando and Huet, Lauren and Hunter Kesling, Kevin and Iborra, Paula and Jahangiri, Shiva and Janssen, Jan and Jordan, Joe and Kanwal, Sehrish and Kunstmann, Liliane and Lehmann, Fabian and Leser, Ulf and Li, Chen and Liu, Peini and Luettgau, Jakob and Lupat, Richard and M. Fernandez, Jose and Maheshwari, Ketan and Malik, Tanu and Marquez, Jack and Matsuda, Motohiko and Medic, Doriana and Mohammadi, Somayeh and Mulone, Alberto and Navarro, John-Luke and Ng, Kin Wai and Noelp, Klaus and P. Kinoshita, Bruno and Prout, Ryan and R. Crusoe, Michael and Ristov, Sashko and Robila, Stefan and Rosendo, Daniel and Rowell, Billy and Rybicki, Jedrzej and Sanchez, Hector and Saurabh, Nishant and Saurav, Sumit Kumar and Scogland, Tom and Senanayake, Dinindu and Shin, Woong and Sirvent, Raul and Skluzacek, Tyler and Sly-Delgado, Barry and Soiland-Reyes, Stian and Souza, Abel and Souza, Renan and Talia, Domenico and Tallent, Nathan and Thamsen, Lauritz and Titov, Mikhail and Tovar, Benjamin and Vahi, Karan and Vardar-Irrgang, Eric and Vartina, Edite and Wang, Yuandou and Wouters, Merridee and Yu, Qi and Al Bkhetan, Ziad and Zulfiqar, Mahnoor",,,,,,,2024,,10.5281/ZENODO.13844758,https://zenodo.org/doi/10.5281/zenodo.13844758,
inproceedings,conference,garijo_llm,LLMs for Ontology Engineering: A landscape of Tasks and Benchmarking challenges,"Garijo, Daniel and Poveda-Villal{\'o}n, Mar{\'i}a and Amador-Dominguez, Elvira and Wang, Ziyuan and Garc{\'i}a-Castro, Raul and Corcho, Oscar",To appear in the Proceedings of the 23rd International Semantic web Conference (Special session on LLMs),,,,,,2024,,,https://dgarijo.com/papers/iswc_llm.pdf,
inproceedings,PD,markovic2024farm,Farm Explorer: A Tool for Calculating Transparent Greenhouse Gas Emissions,"Markovic, Milan and Germano, Stefano and Garijo, Daniel and Edwards, Pete and Li, Andy and Ayall, Tewodros Alemu and Ramsey, Rachael and Leontidis, Georgios",To appear in The 23rd International Semantic web Conference: ISWC 2024 Posters and Demos,,,,,,2024,,,https://dgarijo.com/papers/farm_explorer.pdf,
article,PD,toledormldoc,{RMLdoc}: Documenting Mapping Rules for Knowledge Graph Construction,"Toledo, Jhon and Iglesias-Molina, Ana and Chaves-Fraga, David and Garijo, Daniel","To appear in the Extended Semantic Web Conference Poster and demo proceedings, 2024",,,,,,2024,,,https://dgarijo.com/papers/toledo2024rmldoc.pdf,
article,journal,10.1371/journal.pone.0309210,Recording provenance of workflow runs with RO-Crate,"Leo, Simone AND Crusoe, Michael R. AND Rodríguez-Navas, Laura AND Sirvent, Raül AND Kanitz, Alexander AND De Geest, Paul AND Wittner, Rudolf AND Pireddu, Luca AND Garijo, Daniel AND Fernández, José M. AND Colonnelli, Iacopo AND Gallo, Matej AND Ohta, Tazro AND Suetake, Hirotaka AND Capella-Gutierrez, Salvador AND de Wit, Renske AND Kinoshita, Bruno P. AND Soiland-Reyes, Stian",,PLOS ONE,9,19,,1-35,2024,9,10.1371/journal.pone.0309210,https://doi.org/10.1371/journal.pone.0309210,"Recording the provenance of scientific computation results is key to the support of traceability, reproducibility and quality assessment of data products. Several data models have been explored to address this need, providing representations of workflow plans and their executions as well as means of packaging the resulting information for archiving and sharing. However, existing approaches tend to lack interoperable adoption across workflow management systems. In this work we present Workflow Run RO-Crate, an extension of RO-Crate (Research Object Crate) and Schema.org to capture the provenance of the execution of computational workflows at different levels of granularity and bundle together all their associated objects (inputs, outputs, code, etc.). The model is supported by a diverse, open community that runs regular meetings, discussing development, maintenance and adoption aspects. Workflow Run RO-Crate is already implemented by several workflow management systems, allowing interoperable comparisons between workflow runs from heterogeneous systems. We describe the model, its alignment to standards such as W3C PROV, and its implementation in six workflow systems. Finally, we illustrate the application of Workflow Run RO-Crate in two use cases of machine learning in the digital image analysis domain."
article,workshop,poveda2024ontology,Ontology Engineering and the FAIR principles: A Gap Analysis,"Poveda-Villal{\'o}n, Mar{\'i}a and Garijo, Daniel and Gonzalez-Beltran, Alejandra N and Jonquet, Clement and Le Franc, Yann","To appear in Proceedings of the FAIR principles for Ontologies and Metadata in Knowledge Management (FOAM 2024), Co-located with FOIS 2024 (JOWO Workshops)",,,,,,2024,,,https://dgarijo.com/papers/poveda_et_al_24.pdf,
article,workshop,utrilla2024,Automated Extraction of Research Software Installation Instructions from README files: An Initial Analysis,"Utrilla Guerrero, Carlos and Corcho, Oscar and Garijo, Daniel",Natural Scientific Language Processing and Research Knowledge Graphs,,,,,114--133,2024,,https://doi.org/10.1007/978-3-031-65794-8_8,https://dgarijo.com/papers/utrilla_2024.pdf,
article,workshop,stankovski2024,RepoFromPaper: An Approach to Extract Software Code Implementations from Scientific Publications,"Stankovski, Aleksandar and Garijo, Daniel",Natural Scientific Language Processing and Research Knowledge Graphs,,,,,114--133,2024,,https://doi.org/10.1007/978-3-031-65794-8_7,https://dgarijo.com/papers/stankovsi_2024.pdf,
article,workshop,tabitha2024,Assessing the Overlap of Science Knowledge Graphs: A Quantitative Analysis,"Tabita Ciuciu-Kiss, Jenifer and Garijo, Daniel",Natural Scientific Language Processing and Research Knowledge Graphs,,,,,114--133,2024,,https://doi.org/10.1007/978-3-031-65794-8_11,https://dgarijo.com/papers/tabitha_2024.pdf,
techreport,tech report,david:hal-04485911,{Ensure Software Quality},"David, Mario and Colom, Miguel and Garijo, Daniel and Castro, Leyla Jael and Louvet, Violaine and Ronchieri, Elisabetta and Torquati, Massimo and del Ca{\~n}o, Laura and Cerlane, Leong and van den Bossche, Maxime and Campos, Isabel and Di Cosmo, Roberto",,,,,,https://zenodo.org/records/10723608,2024,March,10.5281/zenodo.10723608,https://hal.science/hal-04485911,
inproceedings,conference,10.1145/3643991.3644876,Bidirectional Paper-Repository Tracing in Software Engineering,"Garijo, Daniel and Arroyo, Miguel and Gonzalez, Esteban and Treude, Christoph and Tarocco, Nicola",MSR '24: Proceedings of the 21st International Conference on Mining Software Repositories,,,,MSR '24,642--646,2024,,10.1145/3643991.3644876,https://doi.org/10.1145/3643991.3644876,
