,crop,p,c1,c2,fertilizer subsidy (%),land area (ha),yield (kg/ha),production (kg),Nfert (kg/ha)
0,maize,0,10,10,10.0,508.84,199.48,101503.11,0.0
1,maize,40,20,10,10.0,304.5,235.24,71632.45,0.0
2,maize,10,50,40,40.0,380988.5,0.19,71632.45,0.0
3,maize,-40,0,10,10.0,388.98,184.15,71632.45,0.0
4,maize,10,30,40,40.0,778.49,92.02,71632.45,0.0
5,maize,-20,20,0,0.0,609.0,117.62,71632.45,0.0
6,maize,-40,-40,-30,-30.0,352373.6,427.41,150607306.62,46.11
7,maize,20,-30,50,50.0,224489.83,528.65,118677324.8,28.97
8,maize,-40,-30,-20,-20.0,272958.52,510.09,139234521.46,48.12
9,maize,30,10,-30,-30.0,359.48,284.97,102441.05,0.0
10,maize,30,10,10,10.0,359.48,284.97,102441.05,0.0
11,maize,-20,10,30,30.0,594.68,166.23,98855.75,0.0
12,maize,10,-40,30,30.0,227704.93,560.66,127664627.7,41.34
13,maize,-20,30,10,10.0,1037.98,69.01,71632.45,0.0
14,maize,20,0,-30,-30.0,29089.12,322.47,9380475.69,0.07
15,maize,20,40,-40,-40.0,2340.9,30.6,71632.45,0.0
16,maize,0,-40,-10,-10.0,229771.45,597.87,137374490.8,64.35
17,maize,30,30,0,0.0,605.49,118.31,71632.45,0.0
18,maize,-40,-40,-20,-20.0,364997.93,409.3,149394558.3,41.1
19,maize,50,30,50,50.0,432.49,165.63,71632.45,0.0
20,maize,50,-10,30,30.0,72443.2,1332.2,96508969.01,83.52
21,maize,20,-10,-20,-20.0,81259.54,1379.02,112058400.0,395.13
22,maize,50,20,30,30.0,253.75,282.29,71632.45,0.0
23,maize,10,-20,50,50.0,123780.5,833.62,103186010.87,39.42
24,maize,10,-20,-20,-20.0,235335.47,613.4,144355138.44,89.15
25,maize,20,-10,10,10.0,181.26,395.18,71632.45,0.0
26,maize,10,10,30,30.0,464.58,221.64,102971.38,0.0
27,maize,40,50,-10,-10.0,380988.5,0.19,71632.45,0.0
28,maize,10,-10,30,30.0,203.92,351.27,71632.45,0.0
29,maize,50,10,0,0.0,260.93,398.96,104100.36,0.0
30,maize,-20,50,50,50.0,380988.5,0.19,71632.45,0.0
31,maize,-30,-40,30,30.0,336528.53,396.99,133598723.98,26.68
32,maize,-10,40,0,0.0,3218.74,22.25,71632.45,0.0
33,maize,-40,-10,40,40.0,317.21,225.82,71632.45,0.0
34,maize,-30,30,40,40.0,1124.48,63.7,71632.45,0.0
35,maize,10,-40,10,10.0,217434.52,606.83,131946180.4,55.45
36,maize,-10,-40,20,20.0,288878.31,468.51,135341092.87,36.76
37,maize,-10,-40,0,0.0,277338.7,503.91,139754119.4,47.66
38,maize,-40,-20,50,50.0,267.8,267.49,71632.45,0.0
39,maize,30,-40,20,20.0,159844.16,763.82,122092330.89,66.09
40,maize,0,40,-40,-40.0,2926.13,24.48,71632.45,0.0
41,maize,50,50,30,30.0,380988.5,0.19,71632.45,0.0
42,maize,-30,-40,50,50.0,307606.89,409.28,125896607.71,23.33
43,maize,20,20,20,20.0,406.0,176.43,71632.45,0.0
44,maize,-30,-40,-30,-30.0,313719.81,471.07,147782962.95,52.14
45,maize,40,0,-10,-10.0,74618.03,1456.16,108655681.35,371.33
46,maize,20,20,-10,-10.0,406.0,176.43,71632.45,0.0
47,maize,-10,-40,-10,-10.0,266488.59,528.7,140891579.74,54.52
48,maize,-30,0,-30,-30.0,361.2,198.32,71632.45,0.0
49,maize,-30,20,0,0.0,659.75,108.57,71632.45,0.0
50,maize,0,-10,0,0.0,123788.28,1053.3,130385808.69,556.23
51,maize,-10,-20,-30,-30.0,241696.31,593.62,143475819.83,78.6
52,maize,0,10,-10,-10.0,508.84,199.48,101503.11,0.0
53,maize,20,-30,-40,-40.0,119197.11,1008.36,120193622.69,140.63
54,maize,10,0,20,20.0,74538.92,1299.19,96839953.14,79.42
55,maize,40,50,20,20.0,380988.5,0.19,71632.45,0.0
56,maize,-10,-30,50,50.0,205251.81,564.27,115818015.99,29.78
57,maize,40,-20,50,50.0,112407.32,894.85,100587402.1,40.94
58,maize,50,10,40,40.0,260.93,398.96,104100.35,0.0
59,maize,30,0,40,40.0,194.49,368.31,71632.45,0.0
60,maize,0,30,-20,-20.0,864.98,82.81,71632.45,0.0
61,maize,50,30,0,0.0,432.49,165.63,71632.45,0.0
62,maize,-40,10,50,50.0,502.73,142.49,71632.45,0.0
63,maize,50,50,40,40.0,380988.5,0.19,71632.45,0.0
64,maize,30,10,-10,-10.0,359.48,284.97,102441.05,0.0
65,maize,40,40,20,20.0,1755.68,40.8,71632.45,0.0
66,maize,40,-10,10,10.0,116361.67,1019.37,118615634.77,132.38
67,maize,50,-30,-40,-40.0,43708.82,2026.26,88565227.12,218.28
68,maize,-10,-30,-30,-30.0,272099.63,539.62,146829277.83,69.14
69,maize,0,-30,10,10.0,294177.92,474.74,139657166.89,42.26
70,maize,-10,-40,50,50.0,288067.39,438.38,126282550.54,26.16
71,maize,-20,-40,30,30.0,320534.83,417.14,133706480.0,28.95
72,maize,-20,10,-10,-10.0,594.68,166.23,98855.75,0.0
73,maize,0,40,30,30.0,2926.13,24.48,71632.45,0.0
74,maize,-20,-20,0,0.0,229.54,312.07,71632.45,0.0
75,maize,-40,-40,40,40.0,298979.04,426.04,127378284.39,25.7
76,maize,-10,30,50,50.0,951.48,75.29,71632.45,0.0
77,maize,30,40,-10,-10.0,2048.29,34.97,71632.45,0.0
78,maize,30,-40,-10,-10.0,123356.02,964.69,119000068.27,111.02
79,maize,50,30,-40,-40.0,432.49,165.63,71632.45,0.0
80,maize,10,-30,20,20.0,261391.95,510.97,133563041.95,41.08
81,maize,-20,-30,-20,-20.0,93665.72,1267.19,118692696.36,546.11
82,maize,30,-40,40,40.0,168081.04,701.1,117841255.93,46.9
83,maize,30,-10,-40,-40.0,58896.98,1695.77,99875983.81,327.58
84,maize,50,-30,10,10.0,103915.13,1076.45,111858934.89,106.27
85,maize,-40,-40,20,20.0,327796.65,411.61,134923623.38,29.17
86,maize,-10,-30,-10,-10.0,312782.83,469.0,146694889.53,50.09
87,maize,10,50,-10,-10.0,380988.5,0.19,71632.45,0.0
88,maize,30,-20,0,0.0,187644.06,720.67,135229302.18,98.08
89,maize,0,10,20,20.0,508.84,199.48,101503.11,0.0
90,maize,-40,-20,-40,-40.0,267.8,267.49,71632.45,0.0
91,maize,30,-30,-20,-20.0,116839.36,1022.74,119495977.91,142.12
92,maize,30,20,10,10.0,355.25,201.64,71632.45,0.0
93,maize,-20,10,0,0.0,594.68,166.23,98855.75,0.0
94,maize,40,20,-20,-20.0,304.5,235.24,71632.45,0.0
95,maize,-40,-10,10,10.0,317.21,225.82,71632.45,0.0
96,maize,-40,20,0,0.0,710.5,100.82,71632.45,0.0
97,maize,20,10,-30,-30.0,410.48,249.35,102354.28,0.0
98,maize,30,-10,50,50.0,158.61,451.64,71632.45,0.0
99,maize,30,-30,-10,-10.0,137465.2,905.17,124428908.38,121.07
100,maize,40,-10,50,50.0,62756.59,1386.52,87013240.55,55.55
101,maize,20,20,-30,-30.0,406.0,176.43,71632.45,0.0
102,maize,20,40,40,40.0,2340.9,30.6,71632.45,0.0
103,maize,10,30,-40,-40.0,778.49,92.02,71632.45,0.0
104,maize,-30,-10,0,0.0,122299.25,906.37,110848191.01,62.94
105,maize,0,0,40,40.0,66480.11,1353.89,90006750.22,61.24
106,maize,10,-30,-30,-30.0,178398.41,750.03,133804054.92,104.17
107,maize,50,30,10,10.0,432.49,165.63,71632.45,0.0
108,maize,-10,-20,40,40.0,210.41,340.44,71632.45,0.0
109,maize,-10,-10,-30,-30.0,249.24,287.41,71632.45,0.0
110,maize,40,20,0,0.0,304.5,235.24,71632.45,0.0
111,maize,40,-40,30,30.0,134294.22,853.09,114564619.35,63.66
112,maize,20,10,-40,-40.0,410.48,249.35,102354.28,0.0
113,maize,-20,10,20,20.0,594.68,166.23,98855.75,0.0
114,maize,20,0,0,0.0,29100.76,322.38,9381643.21,0.07
115,maize,10,20,40,40.0,456.75,156.83,71632.45,0.0
116,maize,-30,10,50,50.0,657.84,153.45,100943.14,0.0
117,maize,-40,20,10,10.0,710.5,100.82,71632.45,0.0
118,maize,20,-30,10,10.0,216701.69,615.43,133365567.11,60.02
119,maize,20,-10,0,0.0,88845.62,1312.98,116652683.9,554.03
120,maize,40,40,10,10.0,1755.68,40.8,71632.45,0.0
121,maize,40,-30,30,30.0,158299.62,752.16,119066176.31,56.82
122,maize,-40,30,-40,-40.0,1210.98,59.15,71632.45,0.0
123,maize,20,-10,-40,-40.0,74541.49,1447.93,107930712.66,316.78
124,maize,50,10,-10,-10.0,260.93,398.96,104100.36,0.0
125,maize,-20,0,20,20.0,333.42,214.84,71632.45,0.0
126,maize,-40,0,-20,-20.0,388.98,184.15,71632.45,0.0
127,maize,-10,10,-20,-20.0,554.65,181.35,100582.86,0.0
128,maize,10,-10,50,50.0,203.92,351.27,71632.45,0.0
129,maize,-40,-30,40,40.0,190388.19,605.18,115219749.28,32.91
130,maize,40,-40,40,40.0,174309.49,815.13,142084040.96,256.78
131,maize,0,-20,30,30.0,145771.58,768.62,112043077.65,46.15
132,maize,0,-30,-20,-20.0,248567.4,576.07,143193149.46,71.92
133,maize,-10,10,-30,-30.0,554.65,181.35,100582.86,0.0
134,maize,30,-30,20,20.0,188472.21,674.13,127054068.25,59.33
135,maize,50,-30,-20,-20.0,56959.55,1694.32,96507834.65,208.01
136,maize,40,-20,10,10.0,164264.91,788.43,129510760.89,99.38
137,maize,30,-20,50,50.0,119526.18,855.97,102310900.2,40.12
138,maize,-40,-40,-40,-40.0,336588.61,448.78,151055054.2,51.59
139,maize,-20,20,-30,-30.0,609.0,117.62,71632.45,0.0
140,maize,-10,40,-10,-10.0,3218.74,22.25,71632.45,0.0
141,maize,0,-40,10,10.0,251360.28,538.95,135469951.52,48.19
142,maize,20,0,10,10.0,29104.63,322.36,9382027.11,0.07
143,maize,-40,20,20,20.0,710.5,100.82,71632.45,0.0
144,maize,-10,0,0,0.0,305.63,234.38,71632.45,0.0
145,maize,40,-10,40,40.0,70517.84,1308.76,92290681.45,63.55
146,maize,30,-20,20,20.0,173882.74,712.98,123974799.36,60.34
147,maize,0,20,-40,-40.0,507.5,141.15,71632.45,0.0
148,maize,40,-10,-20,-20.0,85572.09,1301.35,111359649.0,233.27
149,maize,20,50,-40,-40.0,380988.5,0.19,71632.45,0.0
150,maize,-20,-40,-10,-10.0,302776.62,474.18,143571122.36,46.95
151,maize,-20,-10,-40,-40.0,271.9,263.46,71632.45,0.0
152,maize,-30,20,-20,-20.0,659.75,108.57,71632.45,0.0
153,maize,0,50,20,20.0,380988.5,0.19,71632.45,0.0
154,maize,-30,40,10,10.0,3803.97,18.83,71632.45,0.0
155,maize,30,40,10,10.0,2048.29,34.97,71632.45,0.0
156,maize,30,0,-20,-20.0,91111.49,1266.89,115428150.57,315.78
157,maize,-30,50,-10,-10.0,380988.5,0.19,71632.45,0.0
158,maize,50,0,-10,-10.0,138.92,515.63,71632.45,0.0
159,maize,-40,30,40,40.0,1210.98,59.15,71632.45,0.0
160,maize,-20,-40,40,40.0,319018.95,409.11,130515195.8,26.01
161,maize,50,40,30,30.0,1463.07,48.96,71632.45,0.0
162,maize,-20,-30,40,40.0,206000.01,572.27,117887906.97,32.33
163,maize,50,0,0,0.0,138.92,515.63,71632.45,0.0
164,maize,0,-10,30,30.0,97338.25,1039.89,101221138.2,57.07
165,maize,40,-20,0,0.0,132441.15,941.93,124749682.34,143.88
166,maize,-10,20,-30,-30.0,558.25,128.32,71632.45,0.0
